good.names,SpeciesFungorum ID,"Basionyms, synonyms & additional comments",,,
Acaulospora sporocarpia,,,S.M. Berch (1985),,
Acaulospora taiwania,,"Very unlikely to be an Acaulospora species. In the species description, it is described as being produced in sporocarps. The illustrations of the species are of such poor quality that it is impossible to draw conclusions other than that it does not look much like an Acaulospora fungus. Type material reported to be lost.",H.T. Hu (1988),,
Acaulospora thomii,,"Said to be fundamentally different from other species in the genus, and has been considered as a possible member of Archaeospora. One major consideration was the lack of reaction to Melzer’s reagent, but this is not unknown among the ornamented, small-spored species in Acaulospora. Until more is known recombining it within a different genus would be speculative.",B?aszk. (1988),,
Acaulospora undulata,,"Compare with A. paulinae, see comments given for A. paulinae.",Sieverd. (1988),,
Acaulospora walkeri,,"Known only from field collected material, this species is close in morphology to other species in the genus with small, smooth, yellow spores.",Kramad. & Hedger (1990),,
Ambispora,, back to top,"C. Walker, Vestberg & Schuessler (2007)",Ambisporaceae,Archaeosporales
Ambispora appendicula,,"Basionym: Acaulospora appendicula Spain, Sieverd. & N.C. Schenck (1984)  Synonyms: Appendicispora appendicula Spain, Oehl & Sieverd. (2006), Paracaulospora appendicula S.P. Gautam & U.S. Patel (2007)",C. Walker (2008),Ambisporaceae,Archaeosporales
Ambispora callosa,,"Basionym: Glomus callosum Sieverd. (1988) Synonyms: Appendicispora callosa C. Walker, Vestberg & Schuessler (2007)"," C. Walker, Vestberg & Schuessler (2007)",Ambisporaceae,Archaeosporales
Ambispora fecundispora,,"Basionym: Glomus fecundisporum N.C. Schenck & G.S. Sm. (1982) Synonyms: Appendicispora fecundispora C. Walker, Vestberg & Schuessler (2007)",C. Walker (2008),Ambisporaceae,Archaeosporales
Ambispora fennica,,"Synonyms: Appendicispora fennica C. Walker, Vestberg & Schuessler (2007)","C. Walker, Vestberg & Schuessler (2007)",Ambisporaceae,Archaeosporales
Ambispora gerdemannii,,"Basionym: Glomus gerdemannii S.L. Rose, B.A. Daniels & Trappe (1979) Synonyms: Appendicispora gerdemannii Spain, Oehl & Sieverd. (2006), Archaeospora gerdemannii J.B. Morton & D. Redecker (2001)","C. Walker, Vestberg & Schuessler (2007)",Ambisporaceae,Archaeosporales
Ambispora granatensis,513528,,"J. Palenzuela, N. Ferrol & Oehl (2011)",Ambisporaceae,Archaeosporales
Ambispora jimgerdemannii,,"Basionym: Acaulospora gerdemannii N.C. Schenck & T.H. Nicolson (1979) Synonyms: Appendicispora jimgerdemannii Spain, Oehl & Sieverd. (2006)",C. Walker (2008),Ambisporaceae,Archaeosporales
Ambispora leptoticha,,"Basionym: Glomus leptotichum N.C. Schenck & G.S. Sm. (1982) Synonyms: Appendicispora leptoticha C. Walker, Vestberg & Schuessler (2007), Archaeospora leptoticha J.B. Morton & D. Redecker (2001), Pseudoglomus leptotichum S.P. Gautam & U.S. Patel (2007) Remark: Archaeospora leptoticha J.B. Morton & D. Redecker (2001) was composed of Acaulosporagerdemannii & Glomus leptotichum, Ac. appendicula& Gl. fecundisporum (Morton et al. 1997). This was eventually revised by Spain et al. (2006) and Walker (2008). For an explanation about what happened to the species Ac. gerdemannii, Ac. appendicula, Gl. leptotichum and Gl. fecundisporum, see here.","C. Walker, Vestberg & Schuessler (2007)",Ambisporaceae,Archaeosporales
Ambispora reticulata,,"phylogenetic position unsure, described without any DNA-based evidence",Oehl & Sieverd (2012),Ambisporaceae,Archaeosporales
Archaeospora,, back to top,J.B. Morton & D. Redecker (2001),Archaeosporaceae,Archaeosporales
Archaeospora schenckii,,Basionym: Entrophospora schenckii Sieverd. & S. Toro (1987) Synonyms: Intraspora schenckii Oehl & Sieverd. (2006),Walker & Schuessler (2010),Archaeosporaceae,Archaeosporales
Archaeospora trappei,,Basionym: Acaulospora trappei R.N. Ames & Linderman (1976) (emendation by Spain 2003), J.B. Morton & D. Redecker (2001),Archaeosporaceae,Archaeosporales
Bulbospora,,,Oehl & G.A. Silva 2014,,
Bulbospora minima,809232,"unclear generic affiliation, from the phylogenetic data shown in the protologue","Oehl, Marinho, B.T. Goto & G.A. Silva (2014)",,
Cetraspora,,,"Oehl, F.A. Souza & Sieverd. 2009",,
Cetraspora auronigra,808817,"generic affiliation is unclear, the genus Cetrasporamight be a synonym, see Scutellopora","Oehl, L.L. Lima, Kozovits, Magna & G.A. Silva 2014",,
Claroideoglomus,, back to top,C. Walker & Schuessler (2010),Claroideoglomeraceae,Glomerales(emendation)
Claroideoglomus candidum,519459,"Basionym: Glomus candidum Furrazola, Kaonongbua & Bever (2010)","Oehl, G.A. Silva & Sieverd. (2011)",Claroideoglomeraceae,Glomerales
Claroideoglomus claroideum,,"Basionym: Glomus claroideum N. C. Schenck &  G. S. Sm. (1982) (emendation by Walker & Vestberg 1998) Synonyms: Glomus maculosum D. D. Mill. & C. Walker (1986), G. fistulosum Skou & I. Jakobsen (1989)",C. Walker & Schuessler (2010),Claroideoglomeraceae,Glomerales
Claroideoglomus drummondii,,"Basionym: Glomus drummondii Blaszk. & C. Renker (2006) Synonym: Albahypha drummondii Sieverd., Oehl, B.T.Goto&G.A. Silva (2011)",C. Walker & Schuessler (2010),Claroideoglomeraceae,Glomerales
Claroideoglomus etunicatum,,Basionym: Glomus etunicatum W.N. Becker & Gerd. (1977)  [as 'etunicatus'],C. Walker & Schuessler (2010),Claroideoglomeraceae,Glomerales
Claroideoglomus hanlinii,810925,,"B?aszk., Chwat & Góralska (2015)",Claroideoglomeraceae,Glomerales
Claroideoglomus lamellosum,,"Basionym: Glomus lamellosum Dalpé, Koske & Tews (1992)",C. Walker & Schuessler (2010),Claroideoglomeraceae,Glomerales
Claroideoglomus luteum,,"Basionym: Glomus luteum L.J. Kenn., J.C. Stutz & J.B. Morton (1999)",C. Walker & Schuessler (2010),Claroideoglomeraceae,Glomerales
Claroideoglomus walkeri,,"Basionym: Glomus walkeri Blaszk. & C. Renker (2006) Synonym: Albahypha walkeri Sieverd., Oehl, B.T. Goto & G.A. Silva (2011)",C. Walker & Schuessler (2010),Claroideoglomeraceae,Glomerales
Corymbiglomus,,,B?aszk. & Chwat (2013),Diversisporaceae,
Corymbiglomus corymbiforme,564567,Basionym: Glomus corymbiforme B?aszk. (1995),B?aszk. & Chwat (2013),Diversisporaceae,Diversisporales
Corymbiglomus globiferum,,Basionym: Glomus globiferum Koske & C. Walker (1986),B?aszk. & Chwat (2013),Diversisporaceae,Diversisporales
Corymbiglomus pacificum,,,"Oehl, Medina, P. Cornejo, Sánchez-Castro, G.A. Silva & Palenz. (2014)",Diversisporaceae,Diversisporales
Corymbiglomus tortuosum,582997,Basionym: Glomus tortuosum N.C. Schenck & G. S. Sm. (1982) Synonym: Parapseudoglomus tortuosum S.P. Gautam & U.S. Patel (2007),B?aszk. & Chwat (2013),Diversisporaceae,Diversisporales
Dentiscutata,,,,Gigasporaceae,Diversisporales
Dentiscutata heterogama,,"Basionym: Endogone heterogama T.H. Nicolson & Gerd. (1968) Synonyms: Gigaspora heterogama Gerd. & Trappe (1974), Scutellospora heterogama Walker & F.E. Sanders (1986), Fuscutata heterogama Oehl, F.A. Souza, L.C. Maia & Sieverd. 344 (2009)","Sieverd., F.A. Souza & Oehl (2008)",Gigasporaceae,Diversisporales
Dentiscutata erythropus,,"Basionym: Gigaspora erythropus Koske & C. Walker (1984) [as 'erythropa'] Synonyms: Scutellospora erythropus C. Walker & F.E. Sanders (1986),  Quatunica erythropus F.A. Souza, Sieverd. & Oehl (2008)",C. Walker & D. Redecker (2013),Gigasporaceae,Diversisporales
Dominikia,,,"B?aszk., Chwat & Kovács (2014)",Glomeraceae,Glomerales
Dominikia achra,,"Basionym: Glomus achrum B?aszk., D. Redecker, Koegel, Schützek, Oehl & Kovács (2009)","B?aszk., Chwat & Kovács (2014)",Glomeraceae,Glomerales
Dominikia aurea,809860,Basionym: Glomus aureum Oehl & Sieverd (2003) Compare with Glomus invermaium,"B?aszk., Chwat, G.A. Silva & Oehl (2015)",Glomeraceae,Glomerales
Dominikia bernensis,807929,,"Oehl, Palenz., Sánchez-Castro, N.M.F. Sousa & G.A. Silva (2015)",Glomeraceae,Glomerales
Dominikia compressa,,"Basiomyn: Glomus compressum Sieverd., Oehl, Palenz., Sánchez-Castro & G.A. Silva","Oehl, Palenz., Sánchez-Castro & G.A. Silva (2015)",Glomeraceae,Glomerales
Dominikia difficilevidera,,,"B?aszk., Góralska & Chwat (2015)",Glomeraceae,Glomerales
Dominikia disticha,,,"B?aszk., Chwat & Kovács (2014)",Glomeraceae,Glomerales
Dominikia duoreactiva,,,"B?aszk., Góralska & Chwat (2015)",Glomeraceae,Glomerales
Dominikia indica,,"Basionym: Glomus indicum B?aszk., Wubet, Harikumar (2010)","B?aszk., Chwat & Kovács (2015)",Glomeraceae,Glomerales
Dominikia iranica,,"Basionym: Glomus iranicum B?aszk., Kovács & Balázs (2010) Synonyms: Rhizophagus iranicus C. Walker & Schuessler (2010)","B?aszk., Chwat & Kovács (2014)",Glomeraceae,Glomerales
Dominikia minuta,,"Basionym: Glomus minutum B?aszk., Tadych & Madej (2000)","B?aszk., Chwat & Kovács (2014)",Glomeraceae,Glomerales
Diversispora,, back to top,C. Walker & Schuessler (2004),Diversisporaceae,Diversisporales
Diversispora arenaria,,"Basionym: Glomus arenarium B?aszk., Tadych & Madej (2001)","Oehl, G.A. Silva & Sieverd. (2011)",Diversisporaceae,Diversisporales
Diversispora aurantia,,"Basionym: Glomus aurantium B?aszk., Blanke, Renker & Buscot (2004)",C. Walker & Schuessler (2010) [as 'aurantium'],Diversisporaceae,Diversisporales
Diversispora celata,,,"C. Walker, Gamper & Schuessler (2009)",Diversisporaceae,Diversisporales
Diversispora clara,,,"Oehl, B. Estrada, G.A. Silva & Palenz. (2012)",Diversisporaceae,Diversisporales
Diversispora eburnea,,"Basionym: Glomus eburneum L.J. Kenn., J.C. Stutz & J.B. Morton (1999)",C. Walker & Schuessler (2010),Diversisporaceae,Diversisporales
Diversispora epigaea,,Basionym: Glomus epigaeum B.A. Daniels & Trappe (1979),C. Walker & Schuessler (2010),Diversisporaceae,Diversisporales
Diversispora gibbosa,,Basionym: Glomus gibbosum B?aszk. (1997),B?aszk. & Kovács (2011),Diversisporaceae,Diversisporales
Diversispora insculpta,,Basidionym: Glomus insculptum B?aszk. (2004),"Oehl, G.A. Silva & Sieverd. (2011)",Diversisporaceae,Diversisporales
Diversispora jakucsiae,,,"B?aszk., Balázs & Kovács (2015)",Diversisporaceae,Diversisporales
Diversispora omaniana,,,"Symanczik, B?aszk. & Al-Yahya’ei (2014)",Diversisporaceae,Diversisporales
Diversispora peridiata,,,"B?aszk., Chwat, Kovács & Góralska 2015",Diversisporaceae,Diversisporales
Diversispora przelewicensis,,Basionym: Glomus przelewicense B?aszk. (1988) [as 'przelewicensis'],"Oehl, G.A. Silva & Sieverd. (2011)",Diversisporaceae,Diversisporales
Diversispora trimurales,,Basionym: Glomus trimurales Koske & Halvorson (1989),C. Walker & Schuessler (2010),Diversisporaceae,Diversisporales
Diversispora slowinskiensis,,,"B?aszk., Chwat, Kovács & Góralska 2015",Diversisporaceae,Diversisporales
Diversispora spurca,,"Basionym: Glomus spurcum C.M. Pfeiff., C. Walker & Bloss (1996)",C. Walker & A. Schuessler (2004) [as 'spurcum'],Diversisporaceae,Diversisporales
Diversispora varaderana,,,"B?aszk., Chwat, Kovács & Góralska (2015)",Diversisporaceae,Diversisporales
Entrophospora,, back to top  uncertain phylogenetic position,R.N. Ames & R.W. Schneid. (1979),Entrophosporaceae,unknown
Entrophospora infrequens,,Basionym: Glomus infrequens I.R. Hall (1977),R.N. Ames & R.W. Schneid. (1979),Entrophosporaceae,unknown
Entrophospora,,species of uncertain position,,,
Entrophospora baltica,444868,"Synonym: Sacculospora baltica Oehl, Palenz., Sánchez-Castro, B.T. Goto, G.A. Silva & Sieverd.(2011)","B?aszk., Madej & Tadych (1998)",,
Entrophospora nevadensis,,"rDNA sequences published cluster in Diversispora. It is well possible that the sequence data, obtained from trap-cultures, do not represent the morphospecies.","J. Palenzuela, N. Ferrol, Azcón-Aguilar & Oehl (2010)",sequences cluster inDiversisporaceae,sequences cluster inDiversisporales
Funneliformis,, back to top,C. Walker & Schuessler (2010),Glomeraceae,Glomerales(emendation)
Funneliformis africanum,,Basionym: Glomus africanum B?aszk. & Kovács (2010),C. Walker & Schuessler (2010),Glomeraceae,
Funneliformis badium,,"Basionym: Glomus badium Oehl, Redecker & Sieverd. (2005)",C. Walker & Schuessler (2010),Glomeraceae,Glomerales
Funneliformis caledonium,,Basionym: Endogone macrocarpa var. caledonia T.H. Nicolson & Gerd. (1968) Synonyms: Glomus caledonium Trappe & Gerd. [as 'caledonius'] (1974),C. Walker & Schuessler (2010),Glomeraceae,Glomerales
