"","Genus","Species","Variety","SporeType","SporeName","SporeDim1_min2","SporeDim1_min","SporeDim1_max","SporeDim1_max2","SporeDim2_min2","SporeDim2_min","SporeDim2_max","SporeDim2_max2","Spore_units","SporeArea","Name"
"465","Syncephalastrum","racemosum","","sexual","zygospores",NA,50,90,NA,NA,50,90,NA,"um",3848.4510006475,"Syncephalastrum racemosum "
"466","Syncephalastrum","racemosum","","asexual","sporangiospore",NA,3,5,NA,NA,3,5,NA,"um",12.5663706143592,"Syncephalastrum racemosum "
"467","Talaromyces","emersonii","","sexual","ascospores",NA,3.5,4,NA,NA,2.7,3.5,NA,"um",9.13025364949534,"Talaromyces emersonii "
"468","Talaromyces","emersonii","","asexual","conidia",NA,3.5,5,NA,NA,1.5,2.7,NA,"um",7.00967860832223,"Talaromyces emersonii "
"469","Talaromyces","flavus","","sexual","ascospores",NA,3.5,5,NA,NA,2.5,3.2,NA,"um",9.51313525415159,"Talaromyces flavus "
"470","Talaromyces","flavus","","asexual","conidia",NA,2.2,3.5,NA,NA,2,2.5,NA,"um",5.03636572278614,"Talaromyces flavus "
"471","Talaromyces","helicus","helicus","sexual","ascospores",NA,2.5,3,NA,NA,1.5,2,NA,"um",3.77972866135022,"Talaromyces helicus helicus"
"472","Talaromyces","helicus","helicus","asexual","conidia",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Talaromyces helicus helicus"
"473","Talaromyces","trachyspermus","","sexual","ascospores",NA,3,3.5,NA,NA,2,2.5,NA,"um",5.74322406984384,"Talaromyces trachyspermus "
"474","Talaromyces","trachyspermus","","asexual","conidia",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Talaromyces trachyspermus "
"475","Talaromyces","wortmannii","","sexual","ascospores",NA,3.7,4.7,NA,NA,2.5,3.5,NA,"um",9.89601685880785,"Talaromyces wortmannii "
"476","Talaromyces","wortmannii","","asexual","conidia",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Talaromyces wortmannii "
"477","Tetracladium","setigerum","","asexual","conidia",NA,12,15,NA,NA,3,5,NA,"um",42.4115008234622,"Tetracladium setigerum "
"478","Thamnidium","elegans","","sexual","zygospores",NA,80,125,NA,NA,80,125,NA,"um",8251.58945419444,"Thamnidium elegans "
"479","Thamnidium","elegans","","asexual","sporangiospore",NA,6.5,15.5,NA,NA,4.5,7.5,NA,"um",51.8362787842316,"Thamnidium elegans "
"480","Thanatephorus","cucumeris","","sexual","basidiospores",NA,6,14,NA,NA,4,8,NA,"um",47.1238898038469,"Thanatephorus cucumeris "
"481","Thanatephorus","cucumeris","","asexual","conidia",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Thanatephorus cucumeris "
"482","Thelebolus","polysporus","","sexual","ascospores",NA,5,7,NA,NA,3,3.5,NA,"um",15.3152641862502,"Thelebolus polysporus "
"483","Thelebolus","polysporus","","asexual","conidia",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Thelebolus polysporus "
"484","Thelebolus","stercoreus","","sexual","ascospores",NA,6.5,7,8,NA,2.5,3,4.5,"um",14.5789534080651,"Thelebolus stercoreus "
"485","Thelebolus","stercoreus","","asexual","conidia",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Thelebolus stercoreus "
"486","Thermoascus","aurantiacus","","sexual","ascospores",NA,5,7,NA,NA,3.5,5,NA,"um",20.0276531666349,"Thermoascus aurantiacus "
"487","Thermoascus","aurantiacus","","asexual","conidia",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Thermoascus aurantiacus "
"488","Thermomyces","lanuginosus","","asexual","conidia",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Thermomyces lanuginosus "
"489","Thielavia","heterothallica","","asexual","conidia",NA,5,7,NA,NA,3,4,NA,"um",16.4933614313464,"Thielavia heterothallica "
"490","Thielavia","terricola","","sexual","ascospores",NA,12,16,NA,NA,7,9,NA,"um",87.9645943005142,"Thielavia terricola "
"491","Thielavia","terricola","","asexual","conidia",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Thielavia terricola "
"492","Thielaviopsis","basicola","","asexual","conidia",NA,7.5,19,NA,NA,3,5,NA,"um",41.6261026600648,"Thielaviopsis basicola "
"493","Torula","herbarum","herbarum","asexual","conidia",NA,20,70,NA,NA,5,9,NA,"um",247.400421470196,"Torula herbarum herbarum"
"494","Torulomyces","lagena","","asexual","conidia",NA,2,3,NA,NA,NA,NA,NA,"um",NA,"Torulomyces lagena "
"495","Tricellula","aquatica","","asexual","conidia",NA,4.5,6,8,NA,2.2,2.5,3.5,"um",9.68984984091602,"Tricellula aquatica "
"496","Trichocladium","asperum","","asexual","conidia",12,16,25,28,NA,10,15,NA,"um",201.258279370596,"Trichocladium asperum "
"497","Trichocladium","opacum","","asexual","conidia",NA,20,40,NA,NA,10,16,NA,"um",306.305283725005,"Trichocladium opacum "
"498","Trichoderma","hamatum","","asexual","conidia",NA,3,4.5,NA,NA,2.1,2.8,NA,"um",7.21584562621406,"Trichoderma hamatum "
"499","Trichoderma","harzianum","","asexual","conidia",NA,2.8,3.2,NA,NA,2.5,2.8,NA,"um",6.24391539900971,"Trichoderma harzianum "
"500","Trichoderma","koningii","","asexual","conidia",NA,3,4.8,NA,NA,1.9,2.8,NA,"um",7.19817416753761,"Trichoderma koningii "
"501","Trichoderma","polysporum","","asexual","conidia",NA,2.4,3.8,NA,NA,1.8,2.2,NA,"um",4.86946861306418,"Trichoderma polysporum "
"502","Trichoderma","virens","","asexual","conidia",NA,4.5,6,NA,NA,3.5,4,NA,"um",15.4625263418873,"Trichoderma virens "
"503","Trichoderma","viride","","asexual","conidia",NA,3.6,4.5,NA,NA,NA,NA,NA,"um",NA,"Trichoderma viride "
"504","Trichosporiella","cerebriformis","","asexual","conidia",NA,3.5,6,NA,NA,NA,NA,NA,"um",NA,"Trichosporiella cerebriformis "
"505","Trichosporon","laibachii","","asexual","blastoconidia",NA,3,4.5,NA,NA,3,4.5,NA,"um",11.0446616727766,"Trichosporon laibachii "
"506","Trichosporon","laibachii","","asexual","arthroconidia",NA,5,20,NA,NA,3,4,NA,"um",34.3611696486384,"Trichosporon laibachii "
"507","Trichothecium","roseum","","asexual","conidia",NA,12,23,35,NA,8,10,13,"um",123.700210735098,"Trichothecium roseum "
"508","Trichurus","spiralis","","asexual","conidia",NA,4,6,NA,NA,3.5,4.2,NA,"um",15.1189146454009,"Trichurus spiralis "
"509","Typhula","ishikariensis","canadensis","sexual","basidiospores",NA,0.3,0.8,NA,NA,0.3,0.8,NA,"um",0.237582944427728,"Typhula ishikariensis canadensis"
"510","Typhula","ishikariensis","canadensis","asexual","conidia",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Typhula ishikariensis canadensis"
"511","Typhula","ishikariensis","idahoensis","sexual","basidiospores",NA,7,9,NA,NA,3,5,NA,"um",25.1327412287183,"Typhula ishikariensis idahoensis"
"512","Typhula","ishikariensis","idahoensis","asexual","conidia",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Typhula ishikariensis idahoensis"
"513","Typhula","ishikariensis","ishikariensis","sexual","basidiospores",NA,6,8,NA,NA,3,4,NA,"um",19.2422550032375,"Typhula ishikariensis ishikariensis"
"514","Typhula","ishikariensis","ishikariensis","asexual","conidia",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Typhula ishikariensis ishikariensis"
"515","Ulocladium","consortiale","","asexual","conidia",NA,16,34,NA,NA,10,15,NA,"um",245.436926061703,"Ulocladium consortiale "
"516","Umbelopsis","angularis","","asexual","conidia",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Umbelopsis angularis "
"517","Umbelopsis","isabellina","","asexual","conidia",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Umbelopsis isabellina "
"518","Umbelopsis","nana","","asexual","conidia",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Umbelopsis nana "
"519","Umbelopsis","ramanniana","","asexual","conidia",NA,2.5,5.5,NA,NA,1.5,3,NA,"um",7.06858347057703,"Umbelopsis ramanniana "
"520","Umbelopsis","vinacea","","asexual","conidia",NA,3,5,8,NA,3,5,NA,"um",12.5663706143592,"Umbelopsis vinacea "
"521","Varicosporium","elodae","","asexual","conidia",NA,60,120,NA,NA,3,3,NA,"um",212.057504117311,"Varicosporium elodae "
"522","Verticillium","albo-atrum","","asexual","conidia",NA,3.5,10.5,12.5,NA,2,5,NA,"um",19.2422550032375,"Verticillium albo-atrum "
"523","Verticillium","dahliae","","asexual","conidia",NA,2.5,6,8,NA,1.4,3.2,NA,"um",7.67726704721006,"Verticillium dahliae "
"524","Verticillium","nubilum","","asexual","conidia",NA,4,10,12.5,NA,2.5,3.5,NA,"um",16.4933614313464,"Verticillium nubilum "
"525","Volutella","ciliata","","asexual","conidia",NA,4,6,9,NA,1.5,2,2.5,"um",6.87223392972767,"Volutella ciliata "
"526","Wallemia","sebi","","asexual","conidia",NA,2.5,3.5,NA,NA,2.5,3.5,NA,"um",7.06858347057703,"Wallemia sebi "
"527","Wardomyces","columbinus","","asexual","conidia",NA,6,7.5,NA,NA,2.5,4,NA,"um",17.2296722095315,"Wardomyces columbinus "
"528","Wardomyces","simplex","","asexual","conidia",NA,6.5,8.5,NA,NA,3,5.5,NA,"um",25.0345664582937,"Wardomyces simplex "
"529","Zygorhynchus","heterogamus","","asexual","chlamydospore",NA,6.5,21,NA,NA,6.5,21,NA,"um",148.48934026733,"Zygorhynchus heterogamus "
"530","Zygorhynchus","heterogamus","","sexual","zygospores",NA,30,70,NA,NA,30,70,NA,"um",1963.49540849362,"Zygorhynchus heterogamus "
"531","Zygorhynchus","heterogamus","","asexual","sporangiospore",NA,4,6.5,NA,NA,2,4,NA,"um",12.3700210735098,"Zygorhynchus heterogamus "
"532","Zygorhynchus","moelleri","","asexual","chlamydospore",NA,13,13,NA,NA,13,13,NA,"um",132.732289614169,"Zygorhynchus moelleri "
"533","Zygorhynchus","moelleri","","sexual","zygospores",NA,30,35,NA,NA,30,35,NA,"um",829.576810088555,"Zygorhynchus moelleri "
"534","Zygorhynchus","moelleri","","asexual","sporangiospore",NA,3,6.5,NA,NA,2,3.3,NA,"um",9.88619938176538,"Zygorhynchus moelleri "
