"","Genus","Species","Variety","SporeType","SporeName","SporeDim1_min2","SporeDim1_min","SporeDim1_max","SporeDim1_max2","SporeDim2_min2","SporeDim2_min","SporeDim2_max","SporeDim2_max2","Spore_units","SporeArea","Name"
"322","Nannizia","incurvata","","asexual","conidia",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Nannizia incurvata "
"323","Neocosmospora","vasinfecta","","sexual","ascospores",NA,12,16,NA,NA,9,10.5,NA,"um",107.206849303752,"Neocosmospora vasinfecta "
"324","Neocosmospora","vasinfecta","","asexual","conidia",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Neocosmospora vasinfecta "
"325","Neosartorya","fischeri","","sexual","ascospores",NA,7,7,NA,NA,4,4,NA,"um",21.9911485751286,"Neosartorya fischeri "
"326","Neosartorya","fischeri","","asexual","conidia",NA,2,2.5,NA,NA,2,2.5,NA,"um",3.97607820219958,"Neosartorya fischeri "
"327","Neotestudina","rosatii","","sexual","ascospores",NA,9,12,NA,NA,5,8,NA,"um",53.6034246518758,"Neotestudina rosatii "
"328","Neotestudina","rosatii","","asexual","conidia",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Neotestudina rosatii "
"329","Nigrospora","sphaerica","","asexual","conidia",14,16,19,22,NA,16,19,NA,"um",240.528187540469,"Nigrospora sphaerica "
"330","Oidiodendron","cerealis","","asexual","conidia",NA,3.5,5.5,NA,NA,2,3,NA,"um",8.83572933822129,"Oidiodendron cerealis "
"331","Oidiodendron","echinulatum","","asexual","conidia",NA,2.5,4,NA,NA,2.5,4,NA,"um",8.29576810088555,"Oidiodendron echinulatum "
"332","Oidiodendron","griseum","","asexual","conidia",NA,2,3.6,NA,NA,1.6,2,NA,"um",3.95840674352314,"Oidiodendron griseum "
"333","Oidiodendron","rhodogenum","","asexual","conidia",NA,2,4,NA,NA,1.5,2.2,NA,"um",4.35895980685584,"Oidiodendron rhodogenum "
"334","Oidiodendron","tennuissimun","","asexual","conidia",NA,2,4,NA,NA,1.5,2.5,NA,"um",4.71238898038469,"Oidiodendron tennuissimun "
"335","Oidiodendron","trunctatum","","asexual","conidia",NA,4,6.5,NA,NA,1.5,3,NA,"um",9.27751580513236,"Oidiodendron trunctatum "
